index,name,rating,num_votes,institution,course_id,keyword,course_url,start_year,title_type,sum_rating
175,"Everyday Excel, Part 2",4.95,3302,University of Colorado Boulder,everyday-excel-part-2,computer,https://www.coursera.org/learn/everyday-excel-part-2,2013,6,16345
176,Everyday Parenting: The ABCs of Child Rearing,4.93,1713,Yale University,everyday-parenting,arts,https://www.coursera.org/learn/everyday-parenting,2017,3,8445
177,Excel Fundamentals for Data Analysis,4.59,3265,Macquarie University,excel-data-analysis-fundamentals,data / computer,https://www.coursera.org/learn/excel-data-analysis-fundamentals,2020,6,14986
178,Excel Skills for Business: Advanced,4.68,3034,Macquarie University,excel-advanced,coding / computer,https://www.coursera.org/learn/excel-advanced,2015,11,14199
179,Excel Skills for Business: Essentials,4.9,3184,Macquarie University,excel-essentials,coding / computer,https://www.coursera.org/learn/excel-essentials,2018,11,15602
180,Excel Skills for Business: Intermediate I,4.91,3095,Macquarie University,excel-intermediate-1,coding / computer,https://www.coursera.org/learn/excel-intermediate-1,2012,11,15196
181,Excel Skills for Business: Intermediate II,4.72,3145,Macquarie University,excel-intermediate-2,coding / computer,https://www.coursera.org/learn/excel-intermediate-2,2017,11,14844
182,Excel aplicado a los negocios (nivel Avanzado),4.72,3254,Universidad Austral,excel-aplicado-negocios-avanzado,computer / foreign,https://www.coursera.org/learn/excel-aplicado-negocios-avanzado,2019,11,15359
183,"Excel , VBA for Creative Problem Solving, Part 1",4.86,3340,University of Colorado Boulder,excel-vba-for-creative-problem-solving-part-1,coding / computer,https://www.coursera.org/learn/excel-vba-for-creative-problem-solving-part-1,2012,11,16232
184,Exploring Renewable Energy Schemes,4.78,2292,University of Pennsylvania,exploring-renewable-energy,research,https://www.coursera.org/learn/exploring-renewable-energy,2015,3,10956
185,Exploring and Preparing your Data with BigQuery,4.46,3298,Google Cloud,gcp-exploring-preparing-data-bigquery,data / coding,https://www.coursera.org/learn/gcp-exploring-preparing-data-bigquery,2018,11,14709
186,Fashion as Design,4.84,2306,The Museum of Modern Art,fashion-design,designing,https://www.coursera.org/learn/fashion-design,2017,9,11161
187,Feminism and Social Justice,4.81,1616,"University of California, Santa Cruz",feminism-social-justice,arts,https://www.coursera.org/learn/feminism-social-justice,2014,3,7773
188,FinTech Law and Policy,4.81,1448,Duke University,fintechlawandpolicy,law,https://www.coursera.org/learn/fintechlawandpolicy,2018,4,6965
189,"FinTech: Foundations, Payments, and Regulations",4.58,2304,University of Pennsylvania,wharton-fintech-overview-payments-regulations,commerce,https://www.coursera.org/learn/wharton-fintech-overview-payments-regulations,2013,10,10552
190,Finance for non-Finance Professionals,4.81,2323,Rice University,finance-for-non-finance,commerce,https://www.coursera.org/learn/finance-for-non-finance,2012,10,11174
191,Finance for non-Financial Managers,4.13,2405,Emory University,finance-for-non-financial-managers,commerce,https://www.coursera.org/learn/finance-for-non-financial-managers,2013,10,9933
192,Financial Accounting Fundamentals,4.84,2309,University of Virginia,uva-darden-financial-accounting,commerce,https://www.coursera.org/learn/uva-darden-financial-accounting,2019,10,11176
193,Financial Acumen for non-Financial Managers,4.07,2430,University of Pennsylvania,finance-healthcare-managers,commerce,https://www.coursera.org/learn/finance-healthcare-managers,2013,10,9890
194,Financial Engineering and Risk Management Part I,4.41,2313,Columbia University,financial-engineering-1,commerce,https://www.coursera.org/learn/financial-engineering-1,2014,10,10200
195,Financial Markets,4.82,2426,Yale University,financial-markets-global,commerce,https://www.coursera.org/learn/financial-markets-global,2020,10,11694
196,Financial Planning for Young Adults,4.33,2207,University of Illinois at Urbana-Champaign,financial-planning,commerce,https://www.coursera.org/learn/financial-planning,2012,10,9556
197,Financing and Investing in Infrastructure,4.84,2158,Universita Bocconi,infrastructure-investing,commerce,https://www.coursera.org/learn/infrastructure-investing,2015,10,10445
198,Finanzas personales,4.81,2295,Universidad nacional Autonoma de Mexico,finanzas-personales,commerce / foreign,https://www.coursera.org/learn/finanzas-personales,2013,10,11039
199,Finding Purpose and Meaning In Life: Living for What Matters Most,4.8,1718,University of Michigan,finding-purpose-and-meaning-in-life,arts,https://www.coursera.org/learn/finding-purpose-and-meaning-in-life,2016,3,8246
200,First Step Korean,4.87,1402,Yonsei University,learn-korean,language / foreign,https://www.coursera.org/learn/learn-korean,2018,5,6828
201,Food & Beverage Management,4.8,1009,Universita Bocconi,food-beverage-management,management,https://www.coursera.org/learn/food-beverage-management,2016,1,4843
202,Forensic Accounting and Fraud Examination,4.73,2134,West Virginia University,forensic-accounting,research,https://www.coursera.org/learn/forensic-accounting,2019,1,10094
203,Foundations for Big Data Analysis with SQL,4.81,3093,Cloudera,foundations-big-data-analysis-sql,data / coding / computer,https://www.coursera.org/learn/foundations-big-data-analysis-sql,2014,11,14877
204,Foundations of Business Strategy,4.82,1190,University of Virginia,uva-darden-foundations-business-strategy,business,https://www.coursera.org/learn/uva-darden-foundations-business-strategy,2016,1,5736
205,Foundations of Data Science: K-Means Clustering in Python,4.68,5183,University of London,data-science-k-means-clustering-python,data / science / python / coding,https://www.coursera.org/learn/data-science-k-means-clustering-python,2014,6,24256
206,Foundations of Mindfulness,4.82,1934,Rice University,foundations-of-mindfulness,arts,https://www.coursera.org/learn/foundations-of-mindfulness,2017,3,9322
207,Front-End Web Development with React,4.62,3322,The Hong Kong University of Science and Technology,front-end-react,coding / computer,https://www.coursera.org/learn/front-end-react,2019,11,15348
208,Front-End Web UI Frameworks and Tools: Bootstrap 4,4.82,3099,The Hong Kong University of Science and Technology,bootstrap-4,coding / computer,https://www.coursera.org/learn/bootstrap-4,2015,11,14937
209,Functional Programming Principles in Scala,4.73,3393,ecole Polytechnique Federale de Lausanne,progfun1,coding,https://www.coursera.org/learn/progfun1,2014,11,16049
210,Fundamental neuroscience for neuroimaging,4.61,3354,Johns Hopkins University,neuroscience-neuroimaging,computer,https://www.coursera.org/learn/neuroscience-neuroimaging,2020,3,15462
211,Fundamentals of Engineering Exam Review,4.43,1951,Georgia Institute of Technology,fe-exam,arts,https://www.coursera.org/learn/fe-exam,2017,3,8643
212,Fundamentals of Finance,3.89,2000,University of Pennsylvania,finance-fundamentals,commerce,https://www.coursera.org/learn/finance-fundamentals,2020,10,7780
213,Fundamentals of GIS,4.86,1514,"University of California, Davis",gis,arts,https://www.coursera.org/learn/gis,2017,3,7358
214,Fundamentals of Graphic Design,4.79,2097,California Institute of the Arts,fundamentals-of-graphic-design,designing,https://www.coursera.org/learn/fundamentals-of-graphic-design,2015,9,10045
215,Fundamentals of Immunology: Innate Immunity and B-Cell Function,4.82,1807,Rice University,immunologyfundamentalsimmunitybcells,arts,https://www.coursera.org/learn/immunologyfundamentalsimmunitybcells,2018,3,8710
216,Fundamentals of Machine Learning for Healthcare,4.83,2986,Stanford University,fundamental-machine-learning-healthcare,medical,https://www.coursera.org/learn/fundamental-machine-learning-healthcare,2017,4,14422
217,Fundamentals of Project Planning and Management,4.77,1124,University of Virginia,uva-darden-project-management,management,https://www.coursera.org/learn/uva-darden-project-management,2014,1,5361
218,Fundamentals of Quantitative Modeling,4.57,2235,University of Pennsylvania,wharton-quantitative-modeling,science,https://www.coursera.org/learn/wharton-quantitative-modeling,2019,12,10214
219,Fundamentals of Reinforcement Learning,4.74,5536,Alberta Machine Intelligence Institute,fundamentals-of-reinforcement-learning,ml / python / coding,https://www.coursera.org/learn/fundamentals-of-reinforcement-learning,2018,6,26238
220,Fundamentals of Scalable Data Science,4.01,5334,IBM,ds,data / science / coding,https://www.coursera.org/learn/ds,2012,11,21389
221,Fundamentals of Visualization with Tableau,4.36,3010,"University of California, Davis",data-visualization-tableau,computer,https://www.coursera.org/learn/data-visualization-tableau,2017,11,13124
222,Fundamentos de Excel para negocios,4.82,3120,Universidad Austral,excel-para-negocios,computer,https://www.coursera.org/learn/excel-para-negocios,2015,11,15038
223,Fundamentos de Finanzas Empresariales,4.91,1772,Universidad de los Andes,finanzas-empresariales,foreign,https://www.coursera.org/learn/finanzas-empresariales,2016,5,8701
224,Gamification,4.78,1543,University of Pennsylvania,gamification,games,https://www.coursera.org/learn/gamification,2012,3,7376
225,Gender and Sexuality: Diversity and Inclusion in the Workplace,4.71,1597,University of Pittsburgh,gender-sexuality,arts,https://www.coursera.org/learn/gender-sexuality,2020,3,7522
226,Geopolitics of Europe,3.84,1510,Sciences Po,geopolitics-europe,history,https://www.coursera.org/learn/geopolitics-europe,2017,2,5798
227,Gestion Empresarial Exitosa para Pymes,4.85,1855,Pontificia Universidad Catolica de Chile,gestionempresarialpyme,foreign,https://www.coursera.org/learn/gestionempresarialpyme,2017,5,8997
228,Gestion de organizaciones efectivas,4.78,1998,Pontificia Universidad Catolica de Chile,gestion-organizaciones-efectivas,foreign,https://www.coursera.org/learn/gestion-organizaciones-efectivas,2014,5,9550
229,Get Interactive: Practical Teaching with Technology,4.76,3188,University of London,getinmooc,computer,https://www.coursera.org/learn/getinmooc,2019,6,15175
230,Getting Started With Music Theory,4.12,2074,Michigan State University,music-theory,music,https://www.coursera.org/learn/music-theory,2020,3,8545
231,Getting Started with AWS Machine Learning,4.41,2957,Amazon Web Services,aws-machine-learning,aws / coding,https://www.coursera.org/learn/aws-machine-learning,2018,8,13040
232,Getting Started with Azure,4.18,3070,LearnQuest,cloud-azure-intro,computer,https://www.coursera.org/learn/cloud-azure-intro,2016,6,12833
233,Getting Started with Essay Writing,4.72,1866,"University of California, Irvine",getting-started-with-essay-writing,arts,https://www.coursera.org/learn/getting-started-with-essay-writing,2019,3,8808
234,Getting Started with Go,4.4,3390,"University of California, Irvine",golang-getting-started,computer,https://www.coursera.org/learn/golang-getting-started,2018,6,14916
235,Getting Started with Google Kubernetes Engine,4.25,3049,Google Cloud,google-kubernetes-engine,computer,https://www.coursera.org/learn/google-kubernetes-engine,2019,6,12958
236,Getting Started with Google Sheets,4.67,3396,Google Cloud,getting-started-with-google-sheets,computer,https://www.coursera.org/learn/getting-started-with-google-sheets,2015,6,15859
237,Getting Started with SAS Programming,4.87,3267,SAS,sas-programming-basics,coding / computer,https://www.coursera.org/learn/sas-programming-basics,2019,11,15910
238,Getting started with TensorFlow 2,4.94,3049,Imperial College London,getting-started-with-tensor-flow2,coding / computer,https://www.coursera.org/learn/getting-started-with-tensor-flow2,2012,11,15062
239,Global Diplomacy Ã¯Â¿Â½ Diplomacy in the Modern World,4.64,1609,University of London,global-diplomacy,arts,https://www.coursera.org/learn/global-diplomacy,2016,3,7466
240,Global Diplomacy: the United nations in the World,4.72,1821,University of London,global-diplomacy-un,arts,https://www.coursera.org/learn/global-diplomacy-un,2012,3,8595
241,Global Energy and Climate Policy,4.67,2030,University of London,globalenergyandclimatepolicy,science,https://www.coursera.org/learn/globalenergyandclimatepolicy,2012,12,9480
242,Global Environmental Management,4.68,1052,Technical University of Denmark (DTU),global-environmental-management,management,https://www.coursera.org/learn/global-environmental-management,2013,1,4923
243,Global Financial Markets and Instruments,4.28,2454,Rice University,global-financial-markets-instruments,commerce,https://www.coursera.org/learn/global-financial-markets-instruments,2013,10,10503
244,Google Cloud Platform Big Data and Machine Learning Fundamentals,4.57,5277,Google Cloud,gcp-big-data-ml-fundamentals,ml / data / coding,https://www.coursera.org/learn/gcp-big-data-ml-fundamentals,2015,6,24116
245,Google Cloud Platform Fundamentals: Core Infrastructure,4.72,3252,Google Cloud,gcp-fundamentals,coding / computer,https://www.coursera.org/learn/gcp-fundamentals,2016,11,15349
246,Google Cloud Product Fundamentals,4.7,3028,Google Cloud,google-cloud-product-fundamentals,coding / computer,https://www.coursera.org/learn/google-cloud-product-fundamentals,2016,11,14232
247,Grammar and Punctuation,4.77,1922,"University of California, Irvine",grammar-punctuation,arts / language,https://www.coursera.org/learn/grammar-punctuation,2017,3,9168
248,Greek and Roman Mythology,4.79,1799,University of Pennsylvania,mythology,history,https://www.coursera.org/learn/mythology,2013,2,8617
249,Greening the Economy: Sustainable Cities,4.65,2067,Lund University,gte-sustainable-cities,commecre,https://www.coursera.org/learn/gte-sustainable-cities,2015,10,9612
250,Guitar for Beginners,4.76,2336,Berklee College of Music,guitar,music,https://www.coursera.org/learn/guitar,2017,3,11119
251,Gut Check: Exploring Your Microbiome,4.79,2675,University of Colorado Boulder,microbiome,medical,https://www.coursera.org/learn/microbiome,2016,4,12813
252,"HTML, CSS, and Javascript for Web Developers",4.76,3226,Johns Hopkins University,html-css-javascript-for-web-developers,coding / computer / website,https://www.coursera.org/learn/html-css-javascript-for-web-developers,2019,11,15356
253,Hacia una practica constructivista en el aula,4.91,1616,Pontificia Universidad Catolica de Chile,aulaconstructivista,foreign,https://www.coursera.org/learn/aulaconstructivista,2014,5,7935
254,Healing with the Arts,4.74,2881,University of Florida,healing-with-the-arts,medical,https://www.coursera.org/learn/healing-with-the-arts,2019,4,13656
255,Health Behavior Change: From Evidence to Action,4.93,2883,Yale University,health-behavior-change,medical,https://www.coursera.org/learn/health-behavior-change,2019,4,14213
256,High Stakes Leadership: Leading in Times of Crisis,4.78,1661,University of Michigan,high-stakes-leadership,arts,https://www.coursera.org/learn/high-stakes-leadership,2018,3,7940
257,How Google does Machine Learning,4.48,3352,Google Cloud,google-machine-learning,coding / computer,https://www.coursera.org/learn/google-machine-learning,2013,11,15017
258,How Things Work: An Introduction to Physics,4.85,1751,University of Virginia,how-things-work,arts,https://www.coursera.org/learn/how-things-work,2014,3,8492
259,How to Manage a Remote Team,5,1726,GitLab,remote-team-management,arts / management,https://www.coursera.org/learn/remote-team-management,2016,3,8630
260,Human Rights for Open Societies,4.81,1853,Utrecht University,humanrights,arts,https://www.coursera.org/learn/humanrights,2012,3,8913
261,Hypothesis-Driven Development,4.58,2416,University of Virginia,uva-darden-agile-testing,science,https://www.coursera.org/learn/uva-darden-agile-testing,2016,12,11065
262,IBM Customer Engagement Specialist Professional Certificate,4.86,2375,IBM,ibm-customer-engagement-specialist,commerce,https://www.coursera.org/learn/ibm-customer-engagement-specialist,2012,10,11543
263,IT Security: Defense against the digital dark arts,4.76,3436,Google,it-security,cyber,https://www.coursera.org/learn/it-security,2014,1,16355
264,Improving Communication Skills,4.69,1554,University of Pennsylvania,wharton-communication-skills,arts,https://www.coursera.org/learn/wharton-communication-skills,2013,3,7288
265,"Improving Deep neural networks: Hyperparameter tuning, Regularization and Optimization",4.82,3279,DeepLearning.AI,deep-neural-network,coding / computer,https://www.coursera.org/learn/deep-neural-network,2012,11,15805
266,Improving your statistical inferences,4.89,2831,Eindhoven University of Technology,statistical-inferences,maths,https://www.coursera.org/learn/statistical-inferences,2017,7,13844
267,In the Studio: Postwar Abstract Painting,4.94,1663,The Museum of Modern Art,painting,arts / designing,https://www.coursera.org/learn/painting,2014,3,8215
268,Indigenous Canada,4.81,1987,University of Alberta,indigenous-canada,foreign,https://www.coursera.org/learn/indigenous-canada,2019,5,9557
269,Industrial Biotechnology,4.57,2471,University of Manchester,industrial-biotech,science,https://www.coursera.org/learn/industrial-biotech,2018,12,11292
270,Industrial IoT on Google Cloud Platform,4.54,3453,Google Cloud,iiot-google-cloud-platform,coding/computer,https: /  / www.coursera.org / learn / iiot-google-cloud-platform,2016,11,15677
271,Information Security: Context and Introduction,4.67,3154,"Royal Holloway, University of London",information-security-data,cyber / data / coding,https://www.coursera.org/learn/information-security-data,2013,11,14729
272,"Information Systems Auditing, Controls and Assurance",4.69,3055,The Hong Kong University of Science and Technology,information-systems-audit,coding,https://www.coursera.org/learn/information-systems-audit,2018,11,14328
273,Initiating and Planning Projects,4.72,1646,"University of California, Irvine",project-planning,arts,https://www.coursera.org/learn/project-planning,2019,3,7769
274,Innovation Management,4.72,1038,Erasmus University Rotterdam,innovation-management,management,https://www.coursera.org/learn/innovation-management,2018,1,4899
275,"Innovation Through Design: Think, Make, Break, Repeat",4.71,2347,The University of Sydney,innovation-through-design,designing,https://www.coursera.org/learn/innovation-through-design,2018,9,11054
276,Inspiring and Motivating Individuals,4.85,1743,University of Michigan,motivate-people-teams,arts,https://www.coursera.org/learn/motivate-people-teams,2015,3,8454
277,Instructional Design Foundations and Applications,3.67,2422,University of Illinois at Urbana-Champaign,instructional-design-foundations-applications,designing,https://www.coursera.org/learn/instructional-design-foundations-applications,2012,9,8889
278,Intercultural Management,4.31,1124,ESCP Business School,intercultural,management,https://www.coursera.org/learn/intercultural,2014,1,4844
279,International Humanitarian Law in Theory and Practice,4.83,1212,Universiteit Leiden,international-humanitarian-law,law,https://www.coursera.org/learn/international-humanitarian-law,2019,4,5854
280,International Law in Action: A Guide to the International Courts and Tribunals in The Hague,4.75,1405,Universiteit Leiden,international-law-in-action,law,https://www.coursera.org/learn/international-law-in-action,2012,4,6674
281,International Law in Action: the Arbitration of International Disputes,4.85,1189,Universiteit Leiden,arbitration-international-disputes,law,https://www.coursera.org/learn/arbitration-international-disputes,2016,4,5767
282,International Leadership and Organizational Behavior,4.84,1752,Universita Bocconi,organizational-behavior,arts,https://www.coursera.org/learn/organizational-behavior,2012,3,8480
283,International Organizations Management,4.84,1276,University of Geneva,international-organizations-management,management,https://www.coursera.org/learn/international-organizations-management,2020,1,6176
284,International Security Management,4.61,1397,Erasmus University Rotterdam,international-security-management,management,https://www.coursera.org/learn/international-security-management,2015,1,6440
285,International Women's Health and Human Rights,4.89,1914,Stanford University,womens-health-human-rights,arts,https://www.coursera.org/learn/womens-health-human-rights,2015,3,9359
286,International migrations: a global issue,4.3,1956,Sciences Po,international-migrations,arts,https://www.coursera.org/learn/international-migrations,2017,3,8411
287,Introduccion a Data Science: Programacion Estadistica con R,4.72,3230,Universidad nacional Autonoma de Mexico,intro-data-science-programacion-estadistica-r,data / science / foreign,https://www.coursera.org/learn/intro-data-science-programacion-estadistica-r,2013,6,15246
288,Introduccion a la programacion en Python I: Aprendiendo a programar con Python,4.23,1434,Pontificia Universidad Catolica de Chile,aprendiendo-programar-python,python / coding / foreign,https://www.coursera.org/learn/aprendiendo-programar-python,2014,6,6066
289,Introduction aux Droits de l'Homme,4.89,1696,University of Geneva,droits-de-lhomme,foreign,https://www.coursera.org/learn/droits-de-lhomme,2019,5,8293
290,Introduction to Accounting Data Analytics and Visualization,4.88,3409,University of Illinois at Urbana-Champaign,intro-accounting-data-analytics-visual,data / coding / computer,https://www.coursera.org/learn/intro-accounting-data-analytics-visual,2019,11,16636
291,Introduction to Ancient Egypt and Its Civilization,4.64,1755,University of Pennsylvania,introancientegypt,history,https://www.coursera.org/learn/introancientegypt,2018,2,8143
292,Introduction to Artificial Intelligence (AI),4.77,5464,IBM,introduction-to-ai,ai / coding,https://www.coursera.org/learn/introduction-to-ai,2018,6,26063
293,Introduction to Big Data,4.59,3102,University of California San Diego,big-data-introduction,data / coding,https://www.coursera.org/learn/big-data-introduction,2014,11,14238
294,Introduction to Blockchain Technologies,4.71,3500,InSEAD,introduction-blockchain-technologies,coding / computer,https://www.coursera.org/learn/introduction-blockchain-technologies,2014,11,16485
295,Introduction to Business Analytics: Communicating with Data,4.65,1262,University of Illinois at Urbana-Champaign,intro-business-analytics,business / data,https://www.coursera.org/learn/intro-business-analytics,2019,2,5868
296,Introduction to C# Programming and Unity,4.67,5124,University of Colorado System,introduction-programming-unity,c / coding / computer,https://www.coursera.org/learn/introduction-programming-unity,2013,11,23929
297,Introduction to CSS3,4.81,3403,University of Michigan,introcss,coding / website,https://www.coursera.org/learn/introcss,2016,6,16368
298,Introduction to Calculus,4.87,2966,The University of Sydney,introduction-to-calculus,maths,https://www.coursera.org/learn/introduction-to-calculus,2019,7,14444
299,Introduction to Chemistry:  Reactions and Ratios,4.83,2028,Duke University,intro-chemistry,science / medical,https://www.coursera.org/learn/intro-chemistry,2012,12,9795
300,Introduction to Classical Music,4.92,2392,Yale University,introclassicalmusic,music,https://www.coursera.org/learn/introclassicalmusic,2020,3,11769
301,Introduction to Cloud Computing,4.91,3456,IBM,introduction-to-cloud,coding / computer,https://www.coursera.org/learn/introduction-to-cloud,2012,11,16969
302,Introduction to Computer Programming,3.92,3073,University of London,introduction-to-computer-programming,coding / computer,https://www.coursera.org/learn/introduction-to-computer-programming,2015,11,12046
303,Introduction to Computers and Office Productivity Software,4.6,3303,The Hong Kong University of Science and Technology,introduction-to-computers-and-office-productivity-software,computer,https://www.coursera.org/learn/introduction-to-computers-and-office-productivity-software,2015,11,15194
304,Introduction to Corporate Finance,4.44,2335,University of Pennsylvania,wharton-finance,commerce,https://www.coursera.org/learn/wharton-finance,2019,10,10367
305,Introduction to Cybersecurity Tools & Cyber Attacks,4.27,3451,IBM,introduction-cybersecurity-cyber-attacks,cyber / coding / computer,https://www.coursera.org/learn/introduction-cybersecurity-cyber-attacks,2013,11,14736
306,Introduction to Data Analysis Using Excel,4.71,3012,Rice University,excel-data-analysis,data / coding,https://www.coursera.org/learn/excel-data-analysis,2012,11,14187
307,Introduction to Data Analytics,4.78,3233,IBM,introduction-to-data-analytics,data / coding,https://www.coursera.org/learn/introduction-to-data-analytics,2020,11,15454
308,Introduction to Data Science in Python,4.25,3486,University of Michigan,python-data-analysis,python / data / coding,https://www.coursera.org/learn/python-data-analysis,2017,6,14816
309,Introduction to Dental Medicine,4.91,2649,University of Pennsylvania,dental-medicine-penn,medical,https://www.coursera.org/learn/dental-medicine-penn,2015,4,13007
310,Introduction to Economic Theories,4.15,2209,Erasmus University Rotterdam,intro-economic-theories,commerce,https://www.coursera.org/learn/intro-economic-theories,2020,10,9167
311,Introduction to Electronics,4.72,2182,Georgia Institute of Technology,electronics,science,https://www.coursera.org/learn/electronics,2018,12,10299
312,Introduction to Embedded Systems Software and Development Environments,4.32,3461,University of Colorado Boulder,introduction-embedded-systems,computer,https://www.coursera.org/learn/introduction-embedded-systems,2016,6,14952
313,Introduction to Engineering Mechanics,4.76,2287,Georgia Institute of Technology,engineering-mechanics-statics,science,https://www.coursera.org/learn/engineering-mechanics-statics,2020,6,10886
314,Introduction to English Common Law,4.82,1206,University of London,intro-common-law,law,https://www.coursera.org/learn/intro-common-law,2014,4,5813
315,Introduction to Environmental Law and Policy,4.86,1349,The University of north Carolina at Chapel Hill,environmental-law,law,https://www.coursera.org/learn/environmental-law,2014,4,6556
316,Introduction to Financial Accounting,4.78,2183,University of Pennsylvania,wharton-accounting,commerce,https://www.coursera.org/learn/wharton-accounting,2012,10,10435
317,Introduction to Forensic Science,4.85,2463,"nanyang Technological University, Singapore",forensic-science,science / research,https://www.coursera.org/learn/forensic-science,2020,12,11946
318,Introduction to G Suite,4.63,3209,Google Cloud,introduction-g-suite,computer,https://www.coursera.org/learn/introduction-g-suite,2016,6,14858
319,Introduction to Game Development,4.76,1672,Michigan State University,game-development,games / coding,https://www.coursera.org/learn/game-development,2018,3,7959
320,Introduction to Genetics and Evolution,4.83,2797,Duke University,genetics-evolution,medical,https://www.coursera.org/learn/genetics-evolution,2019,4,13510
321,Introduction to Genomic Technologies,4.46,3103,Johns Hopkins University,introduction-genomics,computer,https://www.coursera.org/learn/introduction-genomics,2016,11,13839
322,Introduction to Git and GitHub,4.82,3432,Google,introduction-git-github,computer,https://www.coursera.org/learn/introduction-git-github,2015,11,16542
323,Introduction to HTML5,4,3071,University of Michigan,html,coding / website,https://www.coursera.org/learn/html,2015,11,12284
324,Introduction to Healthcare,4,2527,Stanford University,intro-to-healthcare,medical,https://www.coursera.org/learn/intro-to-healthcare,2012,4,10108
325,Introduction to Intellectual Property,4.83,1712,University of Pennsylvania,introduction-intellectual-property,arts,https://www.coursera.org/learn/introduction-intellectual-property,2015,3,8269
326,Introduction to International Criminal Law,4.81,1293,Case Western Reserve University,international-criminal-law,law,https://www.coursera.org/learn/international-criminal-law,2018,4,6219
327,Introduction to Machine Learning,4.68,5610,Duke University,machine-learning-duke,ml / coding,https://www.coursera.org/learn/machine-learning-duke,2013,6,26255
328,Introduction to Marketing,4.73,2168,University of Pennsylvania,wharton-marketing,commerce,https://www.coursera.org/learn/wharton-marketing,2012,10,10255
329,Introduction to Mathematical Thinking,4.81,2972,Stanford University,mathematical-thinking,maths,https://www.coursera.org/learn/mathematical-thinking,2018,7,14295
330,Introduction to Molecular Spectroscopy,4.65,1805,University of Manchester,spectroscopy,arts,https://www.coursera.org/learn/spectroscopy,2018,3,8393
331,Introduction to negotiation: A Strategic Playbook for Becoming a Principled and Persuasive negotiator,4.92,1920,Yale University,negotiation,arts,https://www.coursera.org/learn/negotiation,2015,3,9446
332,Introduction to neuroeconomics: How the Brain Makes Decisions,4.63,2349,national Research University Higher School of Economics,neuroeconomics,science,https://www.coursera.org/learn/neuroeconomics,2020,12,10876
333,Introduction to Operations Management,4.28,1462,University of Pennsylvania,wharton-operations,management,https://www.coursera.org/learn/wharton-operations,2020,1,6257
334,Introduction to Personal Branding,4.49,1991,University of Virginia,personal-branding,arts,https://www.coursera.org/learn/personal-branding,2015,3,8940
335,Introduction to Philosophy,4.71,1708,The University of Edinburgh,philosophy,arts,https://www.coursera.org/learn/philosophy,2017,3,8045
336,Introduction to Portfolio Construction and Analysis with Python,4.75,5197,EDHEC Business School,introduction-portfolio-construction-python,python / coding,https://www.coursera.org/learn/introduction-portfolio-construction-python,2012,6,24686
337,Introduction to Probability and Data with R,4.63,3172,Duke University,probability-intro,data / coding / computer,https://www.coursera.org/learn/probability-intro,2020,11,14686
338,Introduction to Programming with MATLAB,4.83,3185,Vanderbilt University,matlab,coding,https://www.coursera.org/learn/matlab,2012,11,15384
339,Introduction to Psychology,4.85,1815,Yale University,introduction-psychology,arts,https://www.coursera.org/learn/introduction-psychology,2014,3,8803
340,Introduction to Public Speaking,4.83,1578,University of Washington,public-speaking,arts,https://www.coursera.org/learn/public-speaking,2015,3,7622
341,Introduction to Search Engine Optimization,4.6,3052,"University of California, Davis",search-engine-optimization,coding / computer,https://www.coursera.org/learn/search-engine-optimization,2016,11,14039
342,"Introduction to Self-Determination Theory: An approach to motivation, development and wellness",4.91,1933,University of Rochester,self-determination-theory,arts,https://www.coursera.org/learn/self-determination-theory,2016,3,9491
343,Introduction to Self-Driving Cars,4.66,2285,University of Toronto,intro-self-driving-cars,science,https://www.coursera.org/learn/intro-self-driving-cars,2012,12,10648
344,Introduction to Social Media Marketing,4.89,1918,Facebook,social-media-marketing-introduction,arts,https://www.coursera.org/learn/social-media-marketing-introduction,2020,3,9379
345,Introduction to Software Product Management,4.59,3229,University of Alberta,introduction-to-software-product-management,computer / management,https://www.coursera.org/learn/introduction-to-software-product-management,2020,1,14821
346,Introduction to Spreadsheets and Models,3.63,3080,University of Pennsylvania,wharton-introduction-spreadsheets-models,computer,https://www.coursera.org/learn/wharton-introduction-spreadsheets-models,2014,6,11180
347,Introduction to Statistics & Data Analysis in Public Health,4.68,2952,Imperial College London,introduction-statistics-data-analysis-public-health,medical,https://www.coursera.org/learn/introduction-statistics-data-analysis-public-health,2015,4,13815
348,Introduction to Structured Query Language (SQL),4.77,2354,University of Michigan,intro-sql,sql / coding,https://www.coursera.org/learn/intro-sql,2016,11,11229
349,Introduction to Sustainability,4.77,1866,University of Illinois at Urbana-Champaign,sustainability,arts,https://www.coursera.org/learn/sustainability,2015,3,8901
350,Introduction to Systematic Review and Meta-Analysis,4.85,1525,Johns Hopkins University,systematic-review,arts,https://www.coursera.org/learn/systematic-review,2013,3,7396
351,Introduction to Systems Engineering,4.78,2401,UnSW Sydney (The University of new South Wales),systems-engineering,science,https://www.coursera.org/learn/systems-engineering,2013,12,11477
352,"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",4.66,3498,DeepLearning.AI,introduction-tensorflow,coding,https://www.coursera.org/learn/introduction-tensorflow,2017,11,16301
353,"Introduction to Trading, Machine Learning & GCP",3.4,5540,new York Institute of Finance,introduction-trading-machine-learning-gcp,ml / coding,https://www.coursera.org/learn/introduction-trading-machine-learning-gcp,2014,4,18836
